dir,mouse,rep,fitness,n_connections,density,ei_ratio,n_exc,n_inh,si_count,sm_count,ii_count,im_count,mi_count,mm_count,si_exc_frac,ii_exc_frac,im_exc_frac,inter_in_mean,inter_out_mean,w_mean_mag,frac_strong
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r1,B5,1,0.6803674103339883,24,0.21428571428571427,0.6,3,5,6,4,10,1,2,1,1.0,0.2,1.0,3.0,1.8333333333333333,0.625,0.5
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r2,B5,2,0.7892513908890548,24,0.21428571428571427,1.6666666666666667,5,3,10,4,6,2,2,0,1.0,0.5,1.0,3.0,1.3333333333333333,0.625,0.5
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r3,B5,3,0.7729636401965421,23,0.20535714285714285,0.3333333333333333,2,6,8,4,8,2,1,0,1.0,0.25,0.5,2.8333333333333335,1.6666666666666667,0.6086956521739131,0.4782608695652174
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r4,B5,4,0.773888106133485,24,0.21428571428571427,3.0,6,2,9,4,6,1,3,1,1.0,0.5,0.0,3.0,1.1666666666666667,0.71875,0.625
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r5,B5,5,0.8197663433051798,24,0.21428571428571427,0.3333333333333333,2,6,11,3,4,3,3,0,1.0,0.0,0.0,3.0,1.1666666666666667,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B5_r6,B5,6,0.7825646363807619,24,0.21428571428571427,0.3333333333333333,2,6,9,4,7,2,2,0,1.0,0.2857142857142857,0.0,3.0,1.5,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B6_r1,B6,1,0.830646440999789,24,0.21428571428571427,3.0,6,2,9,4,4,1,5,1,1.0,1.0,0.0,3.0,0.8333333333333334,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B6_r2,B6,2,0.8175994768097308,23,0.20535714285714285,1.0,4,4,8,3,8,1,2,1,1.0,0.5,0.0,3.0,1.5,0.7065217391304348,0.6086956521739131
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B6_r3,B6,3,0.7942852474860924,24,0.21428571428571427,1.0,4,4,5,4,11,1,2,1,1.0,0.7272727272727273,1.0,3.0,2.0,0.6875,0.5833333333333334
c:\Users\PC\Documents\GitHub\constrainted-neuroevolution\data\agents\results_B6_r4,B6,4,0.8420699570749207,23,0.20535714285714285,1.6666666666666667,5,3,9,3,7,2,1,1,1.0,0.7142857142857143,0.5,2.8333333333333335,1.5,0.5760869565217391,0.43478260869565216
