gen,mean_abs_bias,max_bias,mean_fitness,bias_B5,bias_B6,bias_B7,bias_D3,bias_D4,bias_D5,bias_D7,bias_D8,bias_D9
1,0.057971,0.107681,1.828399,0.040272,0.051054,0.004383,0.046393,-0.092387,-0.063168,-0.112320,0.004085,0.107681
10,0.031792,0.062853,1.213287,0.020354,0.037907,0.014867,-0.010380,-0.030247,0.001332,-0.061351,-0.046834,0.062853
20,0.022393,0.043606,1.033741,-0.024878,-0.011208,-0.022212,0.015793,0.017352,0.043606,0.020160,-0.038102,-0.008222
30,0.037031,0.061671,1.040880,0.024013,-0.004423,0.048850,-0.043668,-0.010126,0.027963,-0.049287,-0.063280,0.061671
40,0.037756,0.089479,1.044368,0.089479,0.003904,-0.043110,-0.029555,-0.038954,0.024716,-0.051481,-0.012136,0.046469
50,0.040507,0.065414,1.044002,0.053082,-0.008305,0.030341,-0.049842,-0.010320,0.065414,-0.073845,-0.045485,0.027925
60,0.032263,0.088610,1.050852,-0.056162,0.010537,-0.023763,-0.000820,0.039256,0.088610,-0.008211,-0.021005,-0.042005
70,0.029952,0.043451,1.048702,-0.050454,0.027095,0.030063,-0.085381,-0.001888,0.043451,-0.002046,0.026510,-0.002682
80,0.021885,0.030364,1.042927,-0.056920,0.004989,-0.009594,-0.037753,0.021165,0.019090,0.015358,0.030364,-0.001732
90,0.023032,0.058125,1.030205,-0.047854,-0.011497,-0.014743,0.001203,0.007632,0.058125,-0.016142,0.029941,-0.020154
100,0.024379,0.055861,1.036530,-0.058897,-0.010945,-0.028060,0.005600,-0.019013,0.055861,0.012146,0.025775,0.003118
110,0.034847,0.084363,1.034527,-0.084688,0.019532,-0.026501,-0.024169,0.032808,0.084363,0.011594,-0.022323,-0.007645
120,0.034847,0.084363,1.034527,-0.084688,0.019532,-0.026501,-0.024169,0.032808,0.084363,0.011594,-0.022323,-0.007645
130,0.030622,0.075607,1.042731,-0.092523,0.034168,-0.005620,-0.021785,0.011019,0.075607,-0.003353,-0.023352,0.008169
140,0.046096,0.107900,1.012045,-0.014016,0.038650,-0.000237,-0.087613,0.015395,0.107900,-0.014509,-0.098242,0.038306
150,0.046096,0.107900,1.012045,-0.014016,0.038650,-0.000237,-0.087613,0.015395,0.107900,-0.014509,-0.098242,0.038306
