gen,B5,B6,B7,D3,D4,D5,D7,D8,D9
1,0.029839,0.095346,0.063361,0.112913,0.111869,0.059407,0.030474,-0.002804,0.115621
10,0.186587,0.131730,0.093755,0.137769,0.144275,0.125504,0.086400,0.108895,0.238060
20,0.295130,0.161661,0.129220,0.173215,0.168590,0.221797,0.149015,0.108648,0.208454
30,0.260079,0.178737,0.183665,0.163232,0.179333,0.168382,0.160866,0.157999,0.298568
40,0.301259,0.184754,0.213356,0.227590,0.167134,0.242832,0.147853,0.184493,0.262562
50,0.305283,0.143289,0.207998,0.273110,0.182889,0.242832,0.156189,0.183392,0.294539
60,0.301741,0.190418,0.207635,0.263142,0.184068,0.259694,0.171561,0.191830,0.294539
70,0.273511,0.137316,0.211941,0.236837,0.210955,0.248605,0.168008,0.191830,0.306010
80,0.277078,0.142988,0.185499,0.294160,0.210955,0.243340,0.200381,0.212399,0.276620
90,0.266192,0.174660,0.185858,0.283936,0.217476,0.255174,0.200125,0.195965,0.271907
100,0.285071,0.188394,0.199013,0.279461,0.237107,0.300886,0.170908,0.191844,0.285621
110,0.345831,0.196749,0.196272,0.299059,0.237107,0.311577,0.188286,0.214761,0.286476
120,0.319737,0.191399,0.216794,0.266789,0.232599,0.290106,0.180429,0.237639,0.286476
130,0.331398,0.191399,0.216794,0.285987,0.232599,0.296222,0.150691,0.238685,0.286476
140,0.363759,0.191399,0.216794,0.315412,0.238856,0.290707,0.198594,0.238685,0.286476
150,0.396653,0.191399,0.216901,0.310345,0.238856,0.296086,0.217008,0.238685,0.286476
